row_id,donation_date,donor_id,donor_name,donation,mail_pref,state
1,8/11/2017,CG-12520,Claire Gute,262,Email,Kentucky
2,8/11/2017,CG-12520,Claire Gute,732,Email,Kentucky
3,12/06/2017,DV-13045,Darrin Van Huff,15,Post,California
4,11/10/2016,SO-20335,Sean O Donnel,958,Email,Florida
5,11/10/2016,SO-20335,Sean O Donnel,22,Email,Florida
6,9/06/2015,BH-11710,Brosina Hoffman,49,Email,California
7,9/06/2015,BH-11710,Brosina Hoffman,7,Email,California
8,9/06/2015,BH-11710,Brosina Hoffman,907,Email,California
9,9/06/2015,BH-11710,Brosina Hoffman,19,Email,California
10,9/06/2015,BH-11710,Brosina Hoffman,115,Email,California
11,9/06/2015,BH-11710,Brosina Hoffman,1706,Email,California
12,9/06/2015,BH-11710,Brosina Hoffman,911,Email,California
13,15/04/2018,AA-10480,Andrew Allen,16,Email,North Carolina
14,5/12/2017,IM-15070,Irene Maddox,408,Email,Washington
15,22/11/2016,HP-14815,Harold Pawlan,69,Do not Contact,Texas
16,22/11/2016,HP-14815,Harold Pawlan,3,Do not Contact,Texas
17,11/11/2015,PK-19075,Pete Kriz,666,Email,Wisconsin
18,13/05/2015,AG-10270,Alejandro Grove,56,Email,Utah
19,27/08/2015,ZD-21925,Zuschuss Donatelli,9,Email,California
20,27/08/2015,ZD-21925,Zuschuss Donatelli,213,Email,California
21,27/08/2015,ZD-21925,Zuschuss Donatelli,23,Email,California
22,9/12/2017,KB-16585,Ken Black,19,Post,Nebraska
23,9/12/2017,KB-16585,Ken Black,60,Post,Nebraska
24,16/07/2018,SF-20065,Sandra Flanagan,71,Email,Pennsylvania
25,25/09/2016,EB-13870,Emily Burns,1045,Email,Utah
26,16/01/2017,EH-13945,Eric Hoffmann,12,Email,California
27,16/01/2017,EH-13945,Eric Hoffmann,91,Email,California
28,17/09/2016,TB-21520,Tracy Blumstein,3083,Email,Pennsylvania
29,17/09/2016,TB-21520,Tracy Blumstein,10,Email,Pennsylvania
30,17/09/2016,TB-21520,Tracy Blumstein,124,Email,Pennsylvania
31,17/09/2016,TB-21520,Tracy Blumstein,3,Email,Pennsylvania
32,17/09/2016,TB-21520,Tracy Blumstein,86,Email,Pennsylvania
33,17/09/2016,TB-21520,Tracy Blumstein,7,Email,Pennsylvania
34,17/09/2016,TB-21520,Tracy Blumstein,16,Email,Pennsylvania
35,19/10/2018,MA-17560,Matt Abelman,29,Do not Contact,Texas
36,8/12/2017,GH-14485,Gene Hale,1098,Post,Texas
37,8/12/2017,GH-14485,Gene Hale,191,Post,Texas
38,27/12/2016,SN-20710,Steve Nguyen,113,Do not Contact,Texas
39,27/12/2016,SN-20710,Steve Nguyen,532,Do not Contact,Texas
40,27/12/2016,SN-20710,Steve Nguyen,212,Do not Contact,Texas
41,27/12/2016,SN-20710,Steve Nguyen,371,Do not Contact,Texas
42,10/09/2018,LC-16930,Linda Cazamias,147,Post,Illinois
43,17/07/2017,RA-19885,Ruben Ausman,78,Post,California
44,19/09/2018,ES-14080,Erin Smith,96,Post,Florida
45,11/03/2017,ON-18715,Odella Nelson,46,Post,Minnesota
46,11/03/2017,ON-18715,Odella Nelson,17,Post,Minnesota
47,20/10/2015,PO-18865,Patrick O Donnel,212,Email,Michigan
48,20/06/2017,LH-16900,Lena Hernandez,45,Email,Delaware
49,20/06/2017,LH-16900,Lena Hernandez,22,Email,Delaware
50,18/04/2016,DP-13000,Darren Powers,38,Email,Indiana
51,18/04/2016,DP-13000,Darren Powers,75,Email,Indiana
52,18/04/2016,DP-13000,Darren Powers,6,Email,Indiana
53,18/04/2016,DP-13000,Darren Powers,90,Email,Indiana
